Workshopname,Preis,Einheiten,Pole Studio,URL_E
Oldschool Ways mit Mareen Leykauf,"ab 45,00 €",1 Einheit,Polemotions Tübingen,https://www.eversports.de/e/workshop/vXi2jGj
Stripper-Style Floorwork mit Mareen Leykauf,"ab 45,00 €",1 Einheit,Polemotions Tübingen,https://www.eversports.de/e/workshop/woXQI80
Diving Deep mit Mareen Leykauf,"ab 59,00 €",1 Einheit,Polemotions Tübingen,https://www.eversports.de/e/workshop/CFxNSNG
Spin It Up mit Masha Lu,"ab 55,00 €",1 Einheit,Polemotions Tübingen,https://www.eversports.de/e/workshop/DzB-CQn
Liquid Sensuality mit Masha Lu,"ab 55,00 €",1 Einheit,Polemotions Tübingen,https://www.eversports.de/e/workshop/r5bkRb_
POLE NICK „Recent Favorite Tricks & Transitions“ (Beg.-Int. Level) ,"ab 75,00 €",1 Einheit,Seemannsbraut Poledance,https://www.eversports.de/e/workshop/ziaHmeW
POLE NICK „Recent Favorite Tricks & Transitions“ (Int. – Adv. Level) ,"ab 75,00 €",1 Einheit,Seemannsbraut Poledance,https://www.eversports.de/e/workshop/zBoJPTa
WORKSHOP: Chair Dance,Ausgebucht,1 Einheit,Aerial Loft,https://www.eversports.de/e/workshop/onN7Doj
Workshop: Invert Step by Step (Part I),"ab 18,00 €",1 Einheit,Aerial Loft,https://www.eversports.de/e/workshop/385OcZZ
Workshop: Aerial Yin Yoga (alle Level),"ab 27,00 €",1 Einheit,Aerial Loft,https://www.eversports.de/e/workshop/rhsldmK
Twerkshop by Maddie,Ausgebucht,1 Einheit,Aerial Loft,https://www.eversports.de/e/workshop/H_FW2CU
Workshop: Aerial Yin Yoga (alle Level),"ab 27,00 €",1 Einheit,Aerial Loft,https://www.eversports.de/e/workshop/9jN2M0O
WORKSHOP: Flying Pole (Anfänger),"ab 18,00 €",1 Einheit,Aerial Loft,https://www.eversports.de/e/workshop/arPk7c0
WORKSHOP: Flying Pole (Mittelstufe & Fortgeschritten),"ab 27,00 €",1 Einheit,Aerial Loft,https://www.eversports.de/e/workshop/r3elm4w
Hypnotic Heels Flow - all level,"ab 69,00 €",1 Einheit,Nordpole,https://www.eversports.de/e/workshop/ieMTTb4
Dirty Dancing - Intermediate,"ab 69,00 €",1 Einheit,Nordpole,https://www.eversports.de/e/workshop/kitzKFd
Twerk it,"ab 25,00 €",3 Einheiten,Pole Faction - Darmstadt,https://www.eversports.de/e/workshop/FP-cEyn
Workshops mit LeaSophie,"ab 39,00 €",2 Einheiten,Pole Faction - Darmstadt,https://www.eversports.de/e/workshop/R763nUE
Pilates - die sanfte Kraft,"ab 12,00 €",10 Einheiten,PoleathletiX,https://www.eversports.de/e/workshop/fWcLCKr
YoungMamaFit,"ab 13,00 €",10 Einheiten,PoleathletiX,https://www.eversports.de/e/workshop/csrqGyT
Polefitness Schnupper Workshop,"ab 42,00 €",4 Einheiten,PoleathletiX,https://www.eversports.de/e/workshop/B5-Mkby
Exotic Pole Schnuppertraining ,"ab 40,00 €",4 Einheiten,PoleathletiX,https://www.eversports.de/e/workshop/U0ioQ4p
Polefitness Kids,"ab 43,00 €",4 Einheiten,PoleathletiX,https://www.eversports.de/e/workshop/GM0YnVC
Faszientraining - AgilityLife,"ab 12,00 €",8 Einheiten,PoleathletiX,https://www.eversports.de/e/workshop/Q4B35ej
Polefitness Schnuppertraining ,"ab 13,00 €",1 Einheit,PoleathletiX,https://www.eversports.de/e/workshop/AdR6zU9
Bauch Beine Po - 10 Wochen ,"ab 7,00 €",10 Einheiten,PoleathletiX,https://www.eversports.de/e/workshop/wpSmtjj
Dance&Fitness Day am 5. Mai 2024,"ab 15,00 €",1 Einheit,TSG Blau-Gold Gießen e.V.,https://www.eversports.de/e/workshop/tFkZ7tt
Dance&Fitness Day ONLINE am 5. Mai 2024,"ab 10,00 €",1 Einheit,TSG Blau-Gold Gießen e.V.,https://www.eversports.de/e/workshop/kTY0ERN
Kizomba - UrbanKiz Workshop Day - mit Nora,"ab 50,00 €",1 Einheit,TSG Blau-Gold Gießen e.V.,https://www.eversports.de/e/workshop/OGVid-T
Pouring Flow - Hip Hop & Impro Workshop + Jam mit Franky Dee und Giovanni,"ab 25,00 €",1 Einheit,TSG Blau-Gold Gießen e.V.,https://www.eversports.de/e/workshop/r_s8Xmg
Pole Heels Choreo,"ab 24,99 €",1 Einheit,Pole-Formance,https://www.eversports.de/e/workshop/OKCi40X
